symbol,timestamp,open,high,low,close
GMXUSDT_PERP.3,2024-05-09 00:00:00+00:00,0.00115055266861,0.02552992975881,-0.0136661550530399,0.01323305969684
GMXUSDT.6,2024-05-09 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.A,2024-05-09 00:00:00+00:00,0.01,0.01,0.01,0.01
pf_gmxusd.K,2024-01-04 00:00:00+00:00,0.0028674034722222,0.0034473443055556,-8.131875e-05,0.0025085156944444
GMXUSDT_PERP.3,2024-01-04 00:00:00+00:00,0.0489413821784499,0.0489413821784499,-0.01864076294193,0.0169665252775
GMXUSDT.6,2024-01-04 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.A,2024-01-04 00:00:00+00:00,0.013546,0.013546,0.01,0.01
pf_gmxusd.K,2024-10-31 00:00:00+00:00,-0.0006465595833333,0.0013098590277778,-0.0007306477777778,0.0001559943055556
GMXUSDT_PERP.3,2024-10-31 00:00:00+00:00,0.01730637880211,0.0418601563047099,-0.0079390216963,0.01618448904404
GMXUSDT.6,2024-10-31 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.A,2024-10-31 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT_PERP.3,2024-01-19 00:00:00+00:00,0.00902133486338,0.00902133486338,-0.00539189533709,0.00579991820277
GMXUSDT_PERP.A,2024-01-19 00:00:00+00:00,0.01,0.01,0.01,0.01
GMXUSDT.6,2024-01-19 00:00:00+00:00,0.01,0.01,0.01,0.01
pf_gmxusd.K,2024-01-19 00:00:00+00:00,-0.0008881684722222,-0.0001251708333333,-0.00488828875,-0.0041324277777778
GMXUSDT_PERP.A,2024-12-08 00:00:00+00:00,0.034841,0.068558,0.034841,0.040549
pf_gmxusd.K,2024-12-08 00:00:00+00:00,0.0106096559722222,0.0113512866666667,0.0077885129166667,0.0086558733333333
GMXUSDT.6,2024-12-08 00:00:00+00:00,0.056691,0.060234,0.035449,0.035449
GMXUSDT_PERP.3,2024-12-08 00:00:00+00:00,0.04770652757909,0.0603617881371099,0.01736674054075,0.01751187270215
pf_gmxusd.K,2024-05-04 00:00:00+00:00,0.00311804,0.0032256358333333,0.0006070925,0.0011617193055556
