t_opn,state,l,collateral,pnl,close,t_hours,cost_rate,pool,position_id,perp_share,perp_t_max,ret,liq,t_max,lp_cls,x
2025-01-07 12:18:00,highvol,20.0,58.19225497317533,74.13006420397862,,9.0,1.047460589517156,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,902195_0x43c71aa5682c324d02edebaecfd5b59c1ca28ca3,0.05,12,1.2738819665632495,0,0,1,1
2025-03-19 21:33:00,highvol,20.0,15.874379711528867,5.081952490802654,t_max,12.0,0.3809851130766928,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,951269_0x43f453373ab82bbde006d7dc109e830f1840f032,0.05,12,0.3201355002937125,0,1,0,1
2025-03-20 09:54:00,midvol,25.0,16.03836969931208,5.5303787209779145,t_max,12.0,0.4811510909793625,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,951269_0x43f453373ab82bbde006d7dc109e830f1840f032,0.05,12,0.3448217508800239,0,1,0,1
2025-03-20 21:55:00,lowvol,30.0,16.199982692188208,1.5220785778770811,t_max,12.0,0.5831993769187755,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,951269_0x43f453373ab82bbde006d7dc109e830f1840f032,0.05,12,0.09395556815076367,0,1,0,1
2025-03-21 09:56:00,midvol,25.0,16.24404268968132,-1.7772124080734188,t_max,12.0,0.4873212806904396,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,951269_0x43f453373ab82bbde006d7dc109e830f1840f032,0.05,12,-0.10940702644190631,0,1,0,1
2025-03-21 21:57:00,lowvol,30.0,16.181256016165158,-6.182688229323391,t_max,12.0,0.5825252165819458,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,951269_0x43f453373ab82bbde006d7dc109e830f1840f032,0.05,12,-0.3820895128997931,0,1,0,1
2025-03-22 09:58:00,lowvol,30.0,15.952632867484084,1.4888041815621786,t_max,12.0,0.5742947832294271,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,951269_0x43f453373ab82bbde006d7dc109e830f1840f032,0.05,12,0.09332654953758616,0,1,0,1
2025-03-22 21:59:00,lowvol,30.0,15.99412081728367,-7.905604169373357,t_max,12.0,0.5757883494222122,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,951269_0x43f453373ab82bbde006d7dc109e830f1840f032,0.05,12,-0.49428188393014716,0,1,0,1
2024-12-22 04:14:00,highvol,20.0,312.47517238624596,76.09196791559565,t_max,12.0,7.499404137269902,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,881340_0x312f9e0f74407a356de5a6f8b8f39159337cce5b,0.05,12,0.24351364409054388,0,1,0,1
2025-02-12 09:52:00,highvol,20.0,249.04403893158306,-130.19082183674485,t_max,12.0,5.977056934357993,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,927448_0x312f9e0f74407a356de5a6f8b8f39159337cce5b,0.05,12,-0.5227622487784606,0,1,0,1
2025-01-13 02:53:00,highvol,20.0,306.47406940719816,76.43203371645512,,4.0,2.4517925552575854,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,907351_0x312f9e0f74407a356de5a6f8b8f39159337cce5b,0.05,12,0.2493915190420347,0,0,1,1
2025-01-28 09:54:00,highvol,20.0,304.86124726192946,244.0758993975646,t_max,12.0,7.316669934286308,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,917106_0x312f9e0f74407a356de5a6f8b8f39159337cce5b,0.05,12,0.8006130709944267,0,1,0,1
2024-12-17 09:17:00,midvol,25.0,546.9482835598313,235.11618567316125,t_max,12.0,16.40844850679494,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,878098_0x31cb41e88a67068e891b8c79e0118cbca9f461d8,0.05,12,0.4298691352368813,0,1,0,1
2024-12-17 20:00:00,midvol,25.0,610.7142632711742,356.22641057462795,t_max,12.0,18.321427898135227,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,878353_0x31cb41e88a67068e891b8c79e0118cbca9f461d8,0.05,12,0.5832947288091312,0,1,0,1
2025-02-02 04:11:00,highvol,20.0,69.75872134460931,7.966653404909495,t_max,12.0,1.6742093122706234,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,920569_0x162d89db3e17bf0fb46779ab52778e5ce955587a,0.05,12,0.11420297349709274,0,1,0,1
2025-01-02 07:12:00,lowvol,30.0,93.56060743843847,-49.6188050467383,t_max,12.0,3.368181867783785,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,896875_0x165b8e50dad10462d0d59488aecd3d38ac2074ec,0.05,12,-0.5303386372238633,0,1,0,1
2025-01-02 19:13:00,lowvol,30.0,91.73012826408996,19.281521078464998,t_max,12.0,3.3022846175072385,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,896875_0x165b8e50dad10462d0d59488aecd3d38ac2074ec,0.05,12,0.21019834424469272,0,1,0,1
2025-01-03 07:14:00,lowvol,30.0,92.37075996228909,-92.06433709633211,liq,8.0,2.216898239094938,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,896875_0x165b8e50dad10462d0d59488aecd3d38ac2074ec,0.05,12,-0.9966826854506547,1,0,0,1
2025-01-07 15:40:00,highvol,20.0,88.44983816204474,51.2642789200503,t_max,12.0,2.1227961158890736,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,896875_0x165b8e50dad10462d0d59488aecd3d38ac2074ec,0.05,12,0.5795858984629396,0,1,0,1
2025-02-19 20:47:00,lowvol,30.0,1.1063230088562577,0.10372249947225373,,1.0,0.003318969026568773,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,932285_0x166e2759da08a852909444900d7acbc7254cd5b6,0.05,12,0.0937542640277223,0,0,1,1
2024-12-14 00:03:00,lowvol,30.0,30.52964067549398,1.5671952501530533,t_max,12.0,1.0990670643177833,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,875855_0x16d7ef5053f80736913e68acaaf01d6fc515ef00,0.05,12,0.051333563562411484,0,1,0,1
2024-12-14 12:04:00,lowvol,30.0,30.582642460999402,5.385738532168872,t_max,12.0,1.1009751285959783,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,875855_0x16d7ef5053f80736913e68acaaf01d6fc515ef00,0.05,12,0.176104420637852,0,1,0,1
